rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
7,H,rm.7_fc.H,0.5,NA,0.0798561357106658,0.159712271421332,0.45620844836094,0.0875831032781201,NA,NA,0.145833333333333,0.291666666666667,0.125,0.25,1271.23119558164,12.9874445320315,0.000136918247662707,0
8,H,rm.8_fc.H,0.5,NA,0.0798561357106658,0.159712271421332,0.45620844836094,0.0875831032781201,NA,NA,0.145833333333333,0.291666666666667,0.125,0.25,1271.23119558164,12.9874445320315,0.000136918247662707,0
9,H,rm.9_fc.H,0.5,NA,0,0,0.5,0,NA,NA,0,0,0,0,1271.23119558164,12.9874445320315,0.000136918247662707,0
10,H,rm.10_fc.H,0.5,NA,0,0,0.5,0,NA,NA,0,0,0,0,1271.23119558164,12.9874445320315,0.000136918247662707,0
1,LH,rm.1_fc.LH,0.773639574468085,0.844,0.188935817451981,0.256430266051601,0.606874164664835,0.216507062769963,0.685,0.114402797168601,0.314393939393939,0.34779796160959,0.1875,0.321850839618235,2569.80016374022,1311.55641269061,1.4315044788984e-286,43
2,LH,rm.2_fc.LH,0.73742,0.833,0.140685816117979,0.203243781570904,0.654481297057079,0.190134315269772,0.5445,0.360307738838159,0.166666666666667,0.280541803843391,0.104166666666667,0.208333333333333,1324.03691983561,65.7931687859987,4.67567163788935e-16,22
3,LH,rm.3_fc.LH,0.687428510638298,0.755,0.173790698491784,0.157290946844237,0.659014500611816,0.185239553412602,0.4975,0.366635604744911,0.166666666666667,0.280541803843391,0.0833333333333333,0.117851130197758,1259.42949476227,1.18574371266004,0.0500228122323448,5
4,LH,rm.4_fc.LH,0.685698936170213,0.766,0.175414680826548,0.13591968598094,0.659094457026181,0.181587428310143,0.423,0.449490823043141,0.166666666666667,0.280541803843391,0.0416666666666667,0.0481125224324688,1258.24375104961,0,0.0905001042244972,4
5,LH,rm.5_fc.LH,0.683899574468085,0.779,0.177498482952955,0.130327426570878,0.656400653025392,0.183035259288645,0.41725,0.440780652176719,0.145833333333333,0.239356776939085,0.0208333333333333,0.0416666666666667,1259.92813047613,1.68437942652076,0.0389843892008717,4
6,LH,rm.6_fc.LH,0.682331489361702,0.819,0.182567261072082,0.129826630571809,0.651857082634276,0.184921383597299,0.461,0.355586838901554,0.166666666666667,0.280541803843391,0.0208333333333333,0.0416666666666667,1259.2353494529,0.991598403286389,0.055122159313644,3
7,LH,rm.7_fc.LH,0.68073914893617,0.798,0.22307770112526,0.134128423108231,0.652464137276905,0.196546065569135,0.509,0.322075560492669,0.145833333333333,0.291666666666667,0,0,1260.9587080482,2.71495699858565,0.0232864699499745,3
8,LH,rm.8_fc.LH,0.680148510638298,0.817,0.23565404824432,0.129485068572151,0.645724060093867,0.205208642857148,0.475,0.265089921850429,0.145833333333333,0.291666666666667,0.0625,0.125,1260.42041796654,2.17666691693307,0.0304783789055497,2
9,LH,rm.9_fc.LH,0.680243829787234,0.817,0.187574611030248,0.169866942969899,0.558382413585612,0.189247150454591,NA,NA,0.166666666666667,0.280541803843391,0.0833333333333333,0.166666666666667,1262.33183973025,4.08808868063829,0.0117201157694321,2
10,LH,rm.10_fc.LH,0.680452127659574,0.833,0.228689158841227,0.175318544556864,0.540445704703403,0.205278006541732,NA,NA,0.1875,0.275336494466653,0.104166666666667,0.208333333333333,1264.47150245846,6.22775140885051,0.00402077752429211,2
1,LQH,rm.1_fc.LQH,0.776124255319149,0.879,0.189807932037264,0.257229601266614,0.605672748774688,0.22109601302655,0.63225,0.0978003919555881,0.314393939393939,0.34779796160959,0.1875,0.321850839618235,NA,NA,NA,60
2,LQH,rm.2_fc.LQH,0.731775744680851,0.836,0.151825911137676,0.200073785103996,0.640799087558585,0.189514348870321,0.4965,0.391177282912322,0.1875,0.275336494466653,0.104166666666667,0.208333333333333,1300.31977023951,42.0760191899024,6.60628951026219e-11,18
3,LQH,rm.3_fc.LQH,0.685893191489362,0.777,0.188716281048075,0.141834731594309,0.645351955828507,0.188112523771114,0.44875,0.341494143434408,0.1875,0.266796843226369,0.125,0.198373011903968,1260.27201641241,2.02826536280281,0.0328259158554485,5
4,LQH,rm.4_fc.LQH,0.683417659574468,0.782,0.194750772411433,0.124126509304116,0.644111197470174,0.18857839443342,0.39675,0.431245772926143,0.208333333333333,0.2590938625858,0.104166666666667,0.157747454050008,1259.79278033047,1.54902928085653,0.0417139815646858,4
5,LQH,rm.5_fc.LQH,0.682083191489362,0.807,0.202530825143092,0.121526602338437,0.637894735187117,0.193148079739065,0.43625,0.393108445597395,0.208333333333333,0.2590938625858,0.0833333333333333,0.117851130197758,1259.41533181798,1.17158076837154,0.0503783046028256,3
6,LQH,rm.6_fc.LQH,0.680905106382979,0.795,0.244586605216662,0.113809729629801,0.635065383193681,0.205429517455577,0.4615,0.318816038910634,0.1875,0.275336494466653,0.0416666666666667,0.0833333333333333,1261.5540969268,3.31034587718818,0.0172908604421421,3
7,LQH,rm.7_fc.LQH,0.680200425531915,0.819,0.196922677202196,0.163157432295701,0.547658012420507,0.185284362233437,NA,NA,0.1875,0.275336494466653,0.0833333333333333,0.166666666666667,1261.57885463001,3.33510358040326,0.0170781387878355,2
8,LQH,rm.8_fc.LQH,0.680426808510638,0.837,0.246764920081355,0.175306282936534,0.52531768724595,0.210765473744929,NA,NA,0.25,0.29658550700087,0.104166666666667,0.208333333333333,1264.13931034114,5.89555929152493,0.00474727778844752,2
9,LQH,rm.9_fc.LQH,0.680804680851064,0.844,0.286651727139977,0.201996274840116,0.471667357815786,0.246432940750629,NA,NA,0.333333333333333,0.390867979985286,0.145833333333333,0.291666666666667,1267.04936450456,8.80561345494448,0.00110798635679224,2
10,LQH,rm.10_fc.LQH,0.682181063829787,0.827,0.292330248722261,0.207440880679653,0.458061800815439,0.259295220088027,NA,NA,0.333333333333333,0.390867979985286,0.145833333333333,0.291666666666667,1270.45541704984,12.2116660002291,0.000201799227774465,2
1,LQHP,rm.1_fc.LQHP,0.790321063829787,0.777,0.207210211546284,0.243475064654578,0.598500625751786,0.210274580070844,0.60025,0.0489719307358818,0.316287878787879,0.289229619116416,0.1875,0.321850839618235,NA,NA,NA,91
2,LQHP,rm.2_fc.LQHP,0.737798723404255,0.803,0.166707603468793,0.194159592880368,0.628140800178384,0.191766716799051,0.5285,0.285237328085462,0.208333333333333,0.2590938625858,0.125,0.25,1362.5385235462,104.294772496587,2.03857637110431e-24,26
3,LQHP,rm.3_fc.LQHP,0.662134255319149,0.658,0.200814037728302,0.159121604384284,0.620017067751765,0.202082112182003,0.38425,0.450715264884605,0.229166666666667,0.283619136898085,0.104166666666667,0.208333333333333,1321.69301989208,63.4492688424666,1.50943845424156e-15,19
4,LQHP,rm.4_fc.LQHP,0.654802127659574,0.655,0.224044781536656,0.161341702743998,0.579369372726433,0.209582219447311,0.19575,0.671002421754199,0.291666666666667,0.292657048690354,0.125,0.198373011903968,1278.47247272983,20.2287216802147,3.66469620569051e-06,8
5,LQHP,rm.5_fc.LQHP,0.653728936170213,0.699,0.228772326691713,0.226497481084578,0.429586212004916,0.154821146781522,NA,NA,0.354166666666667,0.42149974737482,0.145833333333333,0.196908984427192,1263.60035526698,5.35660421736611,0.00621551691503657,1
6,LQHP,rm.6_fc.LQHP,0.653728936170213,0.724,0.209094230234304,0.243546220183219,0.406224160465178,0.124031790104171,NA,NA,0.354166666666667,0.42149974737482,0.145833333333333,0.196908984427192,1266.7648551829,8.5211041332916,0.00127736445500771,1
7,LQHP,rm.7_fc.LQHP,0.653728936170213,0.742,0.0911049842438376,0.182209968487675,0.473532814542157,0.0529343709156864,NA,NA,0.145833333333333,0.291666666666667,0.104166666666667,0.208333333333333,1270.38335430943,12.1396032598152,0.00020920291192546,1
8,LQHP,rm.8_fc.LQHP,0.5,NA,0.0837159727858496,0.167431945571699,0.476560207783201,0.0468795844335974,NA,NA,0.104166666666667,0.208333333333333,0,0,1271.23119558164,12.9874445320315,0.000136918247662707,0
9,LQHP,rm.9_fc.LQHP,0.5,NA,0.0825809980109512,0.165161996021902,0.476930713371209,0.0461385732575818,NA,NA,0.104166666666667,0.208333333333333,0,0,1271.23119558164,12.9874445320315,0.000136918247662707,0
10,LQHP,rm.10_fc.LQHP,0.5,NA,0,0,0.5,0,NA,NA,0,0,0,0,1271.23119558164,12.9874445320315,0.000136918247662707,0
