rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
9,H,rm.9_fc.H,0.5,NA,0,0,0.5,0,NA,NA,0,0,0,0,2290.70397216763,9.48429953191771,0.00296439539070103,0
10,H,rm.10_fc.H,0.5,NA,0,0,0.5,0,NA,NA,0,0,0,0,2290.70397216763,9.48429953191771,0.00296439539070103,0
1,LH,rm.1_fc.LH,0.749960476190476,0.97,0.208607277191658,0.0961520814927705,0.556840056871544,0.0731000908117803,0.40775,0.201828929211515,0.348261959245941,0.240949065518567,0.0946387708401438,0.0650018984464379,4839.66482002035,2558.44514738464,0,78
2,LH,rm.2_fc.LH,0.702735238095238,0.932,0.2225899213982,0.142786476727988,0.473053923368066,0.104577799725159,0.15625,0.319706506033268,0.371036286368094,0.239812181009545,0.101966873706004,0.118252815344733,2351.00235326555,69.7826806298372,2.38951103267283e-16,31
3,LH,rm.3_fc.LH,0.653710714285714,0.886,0.200276788068981,0.157187965203297,0.460053606453634,0.124327458117394,0.066,0.476278629935601,0.369783153536014,0.221754078925302,0.0714285714285714,0.142857142857143,2285.1547066951,3.93503405939191,0.0475273736525312,8
4,LH,rm.4_fc.LH,0.638997619047619,0.876,0.198303043354124,0.149151548810937,0.462310417251541,0.128045963727336,-0.02025,0.559289653638136,0.369783153536014,0.253558729872016,0.0714285714285714,0.142857142857143,2287.11923200101,5.89955936529714,0.0177972362701269,7
5,LH,rm.5_fc.LH,0.630457619047619,0.888,0.189316863745371,0.149509672174125,0.457776951794475,0.107826551657705,0.04675,0.502103823924893,0.301460172169554,0.255606697894725,0.0714285714285714,0.142857142857143,2289.97151882122,8.75184618551293,0.00427549450512278,7
6,LH,rm.6_fc.LH,0.625962023809524,0.889,0.183508141806209,0.141369149801067,0.460952367471699,0.0996211710433273,0.08825,0.417685188469338,0.246077149395227,0.227121101324692,0.0714285714285714,0.142857142857143,2291.27976272309,10.0600900873856,0.00222282257498707,7
7,LH,rm.7_fc.LH,0.620232142857143,0.868,0.171993159920309,0.140437305480509,0.469756234770443,0.098217005218384,0.136,0.389586960767426,0.235207584177836,0.260778097628601,0.0595238095238095,0.119047619047619,2292.82915111454,11.6094784788279,0.00102437597544981,7
8,LH,rm.8_fc.LH,0.617366547619048,0.873,0.151864161569956,0.143731805794982,0.484715142116729,0.0999169385324628,0.10825,0.359978124335355,0.226844284624605,0.234456000499215,0.0714285714285714,0.142857142857143,2288.98401994335,7.76434730763822,0.00700517532725936,5
